,injection_site,marker_color
LM17,CSC,[ 0.37647059  0.78823529  0.94901961]
LM22,CSC,[ 0.37647059  0.78823529  0.94901961]
LM27,LSC,"(0, 1, 0)"
LM30new,LSC,"(0, 1, 0)"
LM31,PcRT,[ 0.69803922  0.          1.        ]
LM32,IC,[ 0.70588235  0.9372549   0.3372549 ]
LM37,MSC,[ 1.  1.  0.]
LM38,IC,[ 0.70588235  0.9372549   0.3372549 ]
LM40new,DR,[ 1.  0.  0.]
LM41,CSC,[ 0.37647059  0.78823529  0.94901961]
LM46,Pno,[ 0.  0.  1.]
LM48,PcRT,[ 0.69803922  0.          1.        ]
LM54,DR,[ 1.  0.  0.]
LM84,Pno,[ 0.  0.  1.]
LM86,LSC,"(0, 1, 0)"
LM94_LM96_LM25,DR,[ 1.  0.  0.]
LM95,MSC,[ 1.  1.  0.]
