,MD585,MD589,MD590,MD591,MD592,MD593,MD594,MD595,MD598,MD599,MD602,MD603
4N_L,,,,,,,,,,,*?,
4N_R,,*c,,,,,,,,,,
6N_L,,,,,,,,,,,,
6N_R,,*w,,,,,,,,,,
Amb_L,xc,,,,,,,,,,,
Amb_R,,,,xi,,,,,,xi,xi,xi
PBG_L,,,,*yw,*yw,*c,,*w,*yw,,,
PBG_R,,*xyc,,,,yc,,,yw,,,*w
10N_L,,,,,,,,,,,,
10N_R,,*c,,,,,,,,,,
AP,,,,,,,,,,,,*c
3N_L,,,,,,,,,,,,
3N_R,,,,,,,,,,,,
LC_L,,,,,,,,,,,,
LC_R,,,,,,,,,,,,
SNC_L,*i,,,*i,,*c,,,,,,
SNC_R,z,,,,,zw,*zw,zc,*zw,*c,,
Tz_L,,,,,,,,,,,,
Tz_R,,,,,,,,,,,,
7n_L,,,,,,,,,,,,
7n_R,,,,,,,,,,,,
RMC_L,,,,,,,,,,,,
RMC_R,,,,,,,,,,,,
5N_L,,,,,,,,,,,,
5N_R,,,,,,,,,,,,
VCP_L,,,,,,,,,,,,
VCP_R,,,,,,,,,,,,
12N,,,,,,,,,,,,
LRt_L,,,,,,,,,,,,
LRt_R,,,,*c,*c,,,,,,,
7N_L,,,,,,,,,,,,
7N_R,,,,,,,,,,,,
VCA_L,,,,,,,,,,,,
VCA_R,,,,,,,,*c,,,,
VLL_L,,,,,,,,yc,,,,
VLL_R,,,,,,,,,,yc,yc,*yw
DC_L,,*c,,,,,,,,,,
DC_R,,,,*c,,,,,,,,
Sp5O_L,,,*w,,,,*zw,,,,*i,
Sp5O_R,,,*xw,,*w,,,*xi,,*w,,*i
Sp5I_L,,,,,,,,,,,,
Sp5I_R,*i,,,,*c,,*i,*i,,,,
Pn_L,,,,,,,,,,,,
Pn_R,,,,,,,,,,,,
RtTg,,,,,,,,,,,,
SNR_L,,,,,,,,*c,,,,
SNR_R,,,,,,,,,,,,
Sp5C_L,,,,,,,,,,,,
Sp5C_R,,,,,,,,,,,,
IC,*c,*c,*c,*c,*c,*c,*c,*c,*c,*c,*c,*c
SC,*c,*c,*c,*c,*c,*c,*c,*c,*c,*c,*c,*c
,,,,,,,,,,,,
,,,,,,,,,,,,
x means wide peak in x direction,,,,,,,,,,,,
* = low z-score,,,,,,,,,,,,
c means correct,,,,,,,,,,,,
w = wrong,,,,,,,,,,,,
i = improvable,,,,,,,,,,,,
