# name, extension, param_dependencies (0 for gabor, 1 for segm, 2 for gabor + vq, 3 for gabor + segm + vq), store_dir (0 for section dir, 1 for stack dir)
name extension param_dep dir
features bp 0 0
featuresRotated bp 0 0
featuresRotated0 bp 0 0
featuresRotated1 bp 0 0
featuresRotated2 bp 0 0
featuresRotated3 bp 0 0
centroids npy 0 0
histogramsPixelNormalized bp 0 0
segmentation bp 1 0
spCentroids npy 1 0
spAreas npy 1 0
spBbox npy 1 0
spCoords npy 1 0
segmentationWithoutText jpg 1 0
segmentationWithText jpg 1 0
segmentationWithoutTextIter0 jpg 1 0
segmentationWithoutTextIter1 jpg 1 0
segmentationWithoutTextIter2 jpg 1 0
segmentationWithoutTextIter3 jpg 1 0
segmentationWithoutTextIter4 jpg 1 0
segmentationWithoutTextIter5 jpg 1 0
segmentationWithoutTextIter6 jpg 1 0
segmentationWithoutTextIter7 jpg 1 0
segmentationWithoutTextIter8 jpg 1 0
segmentationWithoutTextIter9 jpg 1 0
segmentationTransparent png 1 0
neighbors pkl 1 0
edgeCoords pkl 1 0
edgeNeighbors pkl 1 0
edgeCoords pkl 1 0
edgeMidpoints pkl 1 0
edgeEndpoints pkl 1 0
dedgeVectors pkl 1 0
dedgeNeighbors pkl 1 0
textons npy 2 1
texMap bp 2 0
texMapViz jpg 2 0
texHist npy 3 0
allSeedClusterScoreTuples pkl 3 0
allSeedClusterScoreDedgeTuples pkl 3 0
goodClusters pkl 3 0
goodDedges pkl 3 0
landmarksViz jpg 3 0
landmarks10Viz jpg 3 0
landmarks20Viz jpg 3 0
landmarks30Viz jpg 3 0
landmarks40Viz jpg 3 0
landmarks50Viz jpg 3 0
landmarks60Viz jpg 3 0
landmarks70Viz jpg 3 0
landmarks80Viz jpg 3 0
landmarks90Viz jpg 3 0
landmarks100Viz jpg 3 0
landmarks110Viz jpg 3 0
landmarks120Viz jpg 3 0
landmarks130Viz jpg 3 0
landmarks140Viz jpg 3 0
landmarks150Viz jpg 3 0
landmarks160Viz jpg 3 0
landmarks170Viz jpg 3 0
landmarks180Viz jpg 3 0
landmarks190Viz jpg 3 0
landmarks200Viz jpg 3 0
boundaryModels pkl 3 0
shapeContext pkl 3 0
matchingsNext1 pkl 3 0
matchingsNext2 pkl 3 0
matchingsNext3 pkl 3 0
matchingsPrev1 pkl 3 0
matchingsPrev2 pkl 3 0
matchingsPrev3 pkl 3 0
matchingsVizNext1 jpg 3 0
matchingsVizNext2 jpg 3 0
matchingsVizNext3 jpg 3 0
matchingsVizPrev1 jpg 3 0
matchingsVizPrev2 jpg 3 0
matchingsVizPrev3 jpg 3 0
DBoundariesNext1 npy 3 0
DBoundariesNext2 npy 3 0
DBoundariesNext3 npy 3 0
DBoundariesPrev1 npy 3 0
DBoundariesPrev2 npy 3 0
DBoundariesPrev3 npy 3 0
atlasViz jpg 3 0
atlasLandmarkIndices pkl 3 0
spCoveredByProposals pkl 3 0
proposals pkl 3 0
